,verb,translation,english_pos
896,terugdeinzen,recoil,"['n', 'n', 'v', 'v', 'v', 'v']"
897,koelen,cooling,"['n', 'n', 'v', 'v', 'v']"
898,inloggen,login,[]
899,inwijden,initiate,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
900,stoven,stew,"['n', 'n', 'v', 'v', 'v']"
901,spetteren,splash,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
902,koekeloeren,koekeloeren,[]
903,vertrappen,trample,"['n', 'v', 'v', 'v']"
904,perfectioneren,perfect,"['n', 'v', 'a', 's', 's']"
905,ongeslagen,undefeated,['a']
906,bekomen,obtain,"['v', 'v', 'v']"
907,beslissen,decide,"['v', 'v', 'v', 'v']"
908,collaboreren,collaboration,"['n', 'n']"
909,klauwen,claws,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
910,overhebben,to have left,[]
911,articuleren,articulate,"['v', 'v', 'v', 'v', 'v', 'a', 'a']"
912,beschijnen,shine,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
913,verlichten,light up,[]
914,picknicken,have a picnic,[]
915,broeien,scalding,"['v', 'v', 'v', 'v']"
916,zuiveren,purify,"['v', 'v', 'v']"
917,boffen,lucky,"['s', 'a', 's']"
918,wonderteken,miracle sign,[]
919,laken,bed sheet,[]
920,verkleden,dressing up,[]
921,temmen,to tame,[]
922,neerkomen,come down,[]
923,aantrekken,attract,"['v', 'v', 'v']"
924,bazelen,babble,"['n', 'v', 'v', 'v', 'v']"
925,verbannen,banned,"['v', 'v', 'v', 'v', 's']"
926,huppen,hopping,"['v', 'v', 'v', 'v', 'v', 'v']"
927,fenomeen,phenomenon,"['n', 'n']"
928,grinniken,chuckle,"['n', 'v']"
929,kleiduivenschieten,skeet shooting,[]
930,beheren,manage,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
931,likken,to lick,[]
932,bemannen,man,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v']"
933,omringen,surround,"['n', 'v', 'v', 'v', 'v']"
934,afremmen,brake,"['n', 'n', 'n', 'n', 'n', 'v', 'v']"
935,tegenspreken,contradict,"['v', 'v', 'v', 'v']"
936,instoppen,tuck in,[]
937,stijven,stiffen,"['v', 'v', 'v']"
938,rondkijken,looking around,[]
939,mauwen,meow,"['n', 'v']"
940,uitchecken,checking out,[]
941,overnemen,to take over,[]
942,drenken,watering,"['n', 'n', 'v', 'v', 'v', 'v']"
943,purperen,purple,"['n', 'n', 'v', 'v', 's', 's', 's']"
944,achtersteven,stern,"['n', 'n', 'n', 's', 's', 's', 's']"
945,bevoordelen,benefit,"['n', 'n', 'n', 'v', 'v']"
946,rapen,turnips,"['n', 'n']"
947,herleiden,trace back,[]
948,afrekenen,to pay,[]
949,annuleren,Cancel,"['n', 'v', 'v', 'v', 'v', 'v']"
950,sidderen,tremble,"['n', 'v']"
951,skateboarden,skateboarding,"['n', 'v']"
952,vastschroeven,screw tight,[]
953,dammen,Checkers,"['n', 'n', 'n', 'n', 'v', 'v']"
954,aanvechten,challenge,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
955,douchen,take a shower,[]
956,opfrissen,freshen up,[]
957,kibbelen,bicker,"['n', 'v']"
958,omploegen,plow,"['n', 'v', 'v', 'v']"
959,overzien,survey,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
960,rijden,to drive,[]
961,rondlopen,walk around,[]
962,aanvatten,begin,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
963,woeden,rage,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
964,vluchten,flee,['v']
965,bezeren,hurt,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
966,teruggeven,return,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
967,konkelen,fiddle,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
968,gemakken,conveniences,"['n', 'n', 'n', 'n', 'n']"
969,bevinden,located,"['v', 'v', 'v', 'v', 's']"
970,vastketenen,chain,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v']"
971,ruiken,to smell,[]
972,uitknippen,cut out,[]
973,afstoten,push off,[]
974,brullen,roar,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
975,mededelen,to communicate,[]
976,aanmonsteren,sign up,[]
977,vlooien,fleas,['n']
978,voortvluchtigen,fugitives,"['n', 'n']"
979,waken,watch,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
980,bijblijven,keep up,[]
981,schommelen,to swing,[]
982,gooien,throw,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
983,buiten,Outside,"['n', 'n', 'a', 's', 's', 'a', 's', 's', 's', 's', 's', 's', 'r', 'r']"
984,vragen,ask,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
985,toegelaten,allowed,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
986,betuttelen,to patronize,[]
987,lonken,beckon,"['v', 'v', 'v']"
988,korten,shorten,"['v', 'v', 'v', 'v', 'v']"
989,rechtspreken,to judge,[]
990,terugdrijven,drive back,[]
991,luizen,lice,"['n', 'n', 'n', 'n']"
992,stressen,to stress,[]
993,hervinden,find again,[]
994,poen,money,"['n', 'n', 'n']"
995,leegroven,robbing,"['v', 'v']"
996,vliegvissen,fly fishing,[]
997,beschilderen,to paint,[]
998,snuiven,sniff,"['n', 'v', 'v']"
999,opzitten,sit up,[]
1000,zelfmedelijden,self pity,[]
1001,kotsen,puke,"['n', 'n', 'v']"
1002,indoen,put in,[]
1003,tussen,between,"['r', 'r']"
1004,huwen,marry,"['v', 'v']"
1005,moven,moven,[]
1006,triomferen,triumph,"['n', 'n', 'v', 'v', 'v', 'v']"
1007,masseren,massage,"['n', 'v', 'v']"
1008,snaaien,snitch,"['n', 'v', 'v']"
1009,opvaren,sail up,[]
1010,tasten,grope,"['n', 'v', 'v', 'v']"
1011,vervolmaken,perfect,"['n', 'v', 'a', 's', 's']"
1012,strippen,stripping,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1013,doorpraten,continue talking,[]
1014,bliksemen,lightnings,"['n', 'n']"
1015,spreken,to speak,[]
1016,poepen,defecate,['v']
1017,bewonderen,to admire,[]
1018,vervelen,to bore,[]
1019,steunen,support,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1020,verwensen,curse,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
1021,terugwerken,working backwards,[]
1022,inpluggen,plug in,[]
1023,doorspitten,dig through,[]
1024,natellen,counting,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1025,opspringen,bounce,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1026,terugvliegen,fly back,[]
1027,verblijven,stay,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1028,bieden,offer,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1029,zwikken,sprain,"['n', 'v']"
1030,omverrijden,run over,[]
1031,lijntrekken,line drawing,[]
1032,fotograferen,photographing,"['v', 'v']"
1033,doorbakken,well done,[]
1034,droogleggen,draining,"['v', 'v', 'v', 'v', 's']"
1035,vernoemen,mention,"['n', 'n', 'n', 'v', 'v', 'v']"
1036,uitbuiten,exploit,"['n', 'v', 'v', 'v']"
1037,beademen,ventilate,"['v', 'v', 'v', 'v', 'v']"
1038,vervoerskosten,transportation costs,[]
1039,verkwisten,squander,"['v', 'v']"
1040,uitgillen,scream,"['n', 'n', 'n', 'v', 'v', 'v']"
1041,overvloeien,overflow,"['n', 'n', 'v', 'v']"
1042,kerstkalkoen,Christmas turkey,[]
1043,achterhalen,track down,[]
1044,aanraken,to touch,[]
1045,vergenoegen,pleasure,"['n', 'n', 'n', 'n', 'n']"
1046,verteren,digest,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1047,doormaken,go through,[]
1048,verstikken,suffocate,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
1049,delven,mining,"['n', 'n', 'v', 'v']"
1050,tobben,worry,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1051,zoeken,Search,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
1052,bekokstoven,cook up,[]
1053,schilden,shields,"['n', 'n', 'n', 'v', 'v']"
1054,zegen,blessing,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
1055,vastgrijpen,grasp,"['n', 'n', 'n', 'n', 'v', 'v']"
1056,stunten,stunts,"['n', 'n', 'v', 'v']"
1057,koersen,quotes,"['n', 'n', 'v', 'v', 'v', 'v']"
1058,infiltreren,infiltrate,"['v', 'v', 'v', 'v']"
1059,achternazitten,to chase,[]
1060,achteruitrijden,driving backwards,[]
1061,charteren,chartering,"['v', 'v', 'v']"
1062,kuisen,cleaning,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1063,rantsoeneren,rationing,"['n', 'v', 'v']"
1064,fixeren,fixate,"['v', 'v', 'v', 'v']"
1065,uitgooien,throw out,[]
1066,manipuleren,manipulate,"['v', 'v', 'v', 'v', 'v', 'v']"
1067,vermaken,entertain,"['v', 'v', 'v']"
1068,opvragen,request,"['n', 'n', 'v', 'v', 'v']"
1069,inklappen,collapse,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1070,doorrennen,run on,[]
1071,draineren,drain,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
1072,haven,port,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
1073,behandelen,to treat,[]
1074,verspelen,to lose,[]
1075,opvullen,filling up,[]
1076,misschieten,miss out,[]
1077,oprijden,drive up,[]
1078,forceren,forcing,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1079,pruttelen,to simmer,[]
1080,samendoen,to do together,[]
1081,kapen,hijack,"['n', 'v', 'v']"
1082,beseffen,realize,"['v', 'v', 'v', 'v', 'v', 'v']"
1083,bevorderen,promote,"['v', 'v', 'v', 'v', 'v']"
1084,onttronen,dethrone,['v']
1085,wiebelen,wobble,"['n', 'v', 'v', 'v']"
1086,juichen,cheer,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
1087,irrigeren,irrigate,"['v', 'v']"
1088,herprogrammeren,reprogramming,[]
1089,verhandelen,to trade,[]
1090,openbaren,to disclose,[]
1091,kleinkrijgen,grandchildren,['n']
1092,rondfladderen,flutter around,[]
1093,overvleugelen,outflank,"['v', 'v']"
1094,bespringen,pounce,"['n', 'v']"
1095,doorspelen,play on,[]
1096,bulken,bulge,"['n', 'v', 'v', 'v', 'v']"
1097,proberen,to attempt,[]
1098,vergrendelen,lock,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1099,nagelbijten,nail biting,[]
1100,aanbotsen,collide,"['v', 'v', 'v']"
1101,bekijken,see,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1102,wringen,wring,"['n', 'v', 'v', 'v', 'v']"
1103,afwerpen,shedding,"['n', 'n', 'v', 'v', 'v', 'v']"
1104,projecteren,project,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1105,genezen,to cure,[]
1106,ballonvaren,ballooning,"['n', 'v', 'v']"
1107,transponeren,transpose,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1108,verschuiven,shift,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1109,kuren,cures,"['n', 'v', 'v', 'v', 'v']"
1110,betreuren,mourn,"['v', 'v']"
1111,aanwijzen,point out,[]
1112,afwegen,weigh up,[]
1113,uitknijpen,squeeze,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1114,donderen,thunder,"['n', 'n', 'n', 'v', 'v', 'v', 'v']"
1115,wegvluchten,flee,['v']
1116,vioolspelen,to play the violin,[]
1117,besprenkelen,sprinkle,"['n', 'n', 'v', 'v', 'v', 'v']"
1118,bedienen,operate,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
1119,openbarsten,burst open,[]
1120,verhoeden,prevent,"['v', 'v']"
1121,verdampen,evaporate,"['v', 'v', 'v', 'v']"
1122,doorvertellen,tell on,[]
1123,aftakelen,decline,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1124,behouden,preserve,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1125,shaken,shaking,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1126,lusten,desires,"['n', 'n', 'n', 'v', 'v', 'v']"
1127,opblijven,stay up,[]
1128,kwijtraken,lose,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1129,dansen,dancing,"['n', 'v', 'v', 'v']"
1130,zelfvertrouwen,self confidence,[]
1131,herscheppen,recreate,"['v', 'v', 'v', 'v']"
1132,lynchen,lynching,"['n', 'v']"
1133,bovenkomen,coming upstairs,[]
1134,vreten,eating,"['n', 'v', 'v', 'v', 'v', 'v', 'v']"
1135,aanmelden,Sign Up,[]
1136,doorschrijven,forwarding,"['n', 'n', 'v']"
1137,even,for a bit,[]
1138,doodvriezen,freeze to death,[]
1139,markeren,to mark,[]
1140,daten,to date,[]
1141,knallen,pop,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 'r']"
1142,onbesneden,uncircumcised,[]
1143,grondtroepen,ground forces,[]
1144,tongzoen,French kiss,[]
1145,overlopen,defect,"['n', 'n', 'n', 'n', 'v']"
1146,optreden,performance,"['n', 'n', 'n', 'n', 'n']"
1147,verschroeien,scorch,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
1148,vermoeden,suspicion,"['n', 'n', 'n', 'n']"
1149,verkloten,screwed up,[]
1150,zwaaien,to wave,[]
1151,bestormen,storm,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
1152,uitwijzen,reveal,"['v', 'v', 'v']"
1153,aankloppen,knock on the door,[]
1154,wegvliegen,fly away,[]
1155,verzoenen,reconcile,"['v', 'v', 'v', 'v']"
1156,minachten,disdain,"['n', 'n', 'v', 'v']"
1157,toestemmen,consent,"['n', 'v']"
1158,smeden,forging,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1159,excommuniceren,excommunicate,"['v', 'v']"
1160,verzwaren,weight down,[]
1161,gehouden,kept,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'a']"
1162,stopzetten,stop,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1163,meeleven,sympathize,"['v', 'v', 'v']"
1164,natspuiten,wet spraying,[]
1165,uitvragen,ask out,[]
1166,googelen,googling,['v']
1167,blaten,bleat,"['n', 'v', 'v']"
1168,hernemen,resume,"['n', 'n', 'v', 'v', 'v', 'v']"
1169,pronken,show off,[]
1170,knokken,fight,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
1171,bossen,forests,"['n', 'n', 'v']"
1172,hebben,to have,[]
1173,bezoedelen,tarnish,"['n', 'v']"
1174,kletteren,clatter,"['n', 'v']"
1175,meebetalen,chip in,[]
1176,scheen,shone,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1177,blootgeven,expose,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1178,omtoveren,transform,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
1179,ineengedoken,huddled,"['v', 'v', 's']"
1180,omspitten,dig up,[]
1181,levensmiddelen,foodstuffs,"['n', 'n']"
1182,omwikkelen,wrap around,[]
1183,wensen,to wish,[]
1184,mazelen,the measles,[]
1185,wegblijven,stay away,[]
1186,desintegreren,disintegrate,"['v', 'v', 'v']"
1187,bekommeren,worry,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1188,terugeisen,reclaim,"['v', 'v', 'v', 'v', 'v']"
1189,loszitten,loose,"['v', 'v', 'v', 'v', 'a', 's', 'a', 's', 's', 's', 'a', 's', 's', 's', 's', 's', 's', 'r']"
1190,afgebroken,demolished,"['v', 'v', 'v', 's']"
1191,onderworpen,subject,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 's', 's', 's']"
1192,afdwalen,stray,"['n', 'v', 'v', 'v', 's', 's']"
1193,overbieden,outbid,"['v', 'v']"
1194,branden,to burn,[]
1195,ontruimen,evacuate,"['v', 'v', 'v', 'v', 'v']"
1196,veren,feathers,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
1197,overschrijden,exceed,"['v', 'v', 'v']"
1198,merrieveulen,filly,['n']
1199,beoordelen,judge,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
1200,opzuigen,suck up,[]
1201,vliegeren,flying a kite,[]
1202,uploaden,upload,['v']
1203,vorderen,progress,"['n', 'n', 'n', 'v', 'v', 'v']"
1204,heenlopen,walk away,[]
1205,gladstrijken,smooth out,[]
1206,omkeren,turning back,[]
1207,floppen,flopping,"['v', 'v', 'v']"
1208,belijden,confess,"['v', 'v', 'v']"
1209,mogen,be allowed to,[]
1210,uitweiden,elaborate,"['v', 'v', 'v', 'v', 's', 's']"
1211,standhouden,hold on,[]
1212,volschieten,shoot full,[]
1213,overtroeven,trump,"['n', 'n', 'n', 'v', 'v', 'v', 'v']"
1214,vertrouwen,trust,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1215,opletten,pay attention,[]
1216,wegrotten,rot away,[]
1217,afpakken,take away,[]
1218,narekenen,calculate,"['v', 'v', 'v', 'v', 'v', 'v']"
1219,zeehaven,seaport,['n']
1220,ruïneren,ruin,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1221,doorklieven,cut through,[]
1222,rondscharrelen,scurry around,[]
1223,schuilen,take shelter,[]
1224,verdwijnen,to disappear,[]
1225,boeien,buoys,"['n', 'v', 'v', 'v']"
1226,kieken,snap,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1227,afvijlen,filing,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
1228,lebberen,rennets,['n']
1229,bekruipen,creep up,[]
1230,compromitteren,compromise,"['n', 'n', 'v', 'v', 'v']"
1231,dichtdoen,close,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'a', 'a', 'a', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 'r', 'r']"
1232,geven,to give,[]
1233,uitspreken,to pronounce,[]
1234,besparen,save,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1235,stoepen,sidewalks,['n']
1236,beloven,promise,"['n', 'n', 'v', 'v', 'v', 'v']"
1237,vrijmaken,free up,[]
1238,wegdromen,dream away,[]
1239,flankeren,flank,"['n', 'n', 'n', 'n', 'v']"
1240,mijden,avoid,"['v', 'v', 'v', 'v', 'v']"
1241,indruisen,violate,"['v', 'v', 'v', 'v', 'v', 'v']"
1242,afmaken,finish up,[]
1243,terugdenken,think back,[]
1244,terugbrengen,return,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1245,lanterfanten,lounging around,[]
1246,uitladen,unload,"['v', 'v']"
1247,vooroverbuigen,Bend over,[]
1248,bombarderen,bomb,"['n', 'n', 'n', 'v', 'v']"
1249,wisselen,exchange,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1250,uitspuwen,spit out,[]
1251,schakelen,switch,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1252,citroen,lemon,"['n', 'n', 'n', 'n', 'n']"
1253,gevangenzitten,to be imprisoned,[]
1254,opsteken,light up,[]
1255,meesturen,send along,[]
1256,losschudden,shake off,[]
1257,aansluiten,connect,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1258,bevaren,to sail,[]
1259,aanvegen,wipe,"['n', 'v']"
1260,aanstampen,tamp,"['n', 'v']"
1261,reduceren,reduce,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1262,afrossen,truss,"['n', 'n', 'n', 'v', 'v', 'v']"
1263,voorvallen,occurrences,"['n', 'n']"
1264,kauwen,chew,"['n', 'n', 'v']"
1265,buitensluiten,lock out,[]
1266,trompetteren,trumpet,"['n', 'v', 'v', 'v']"
1267,bijsluiten,enclosing,"['n', 'v', 'v', 'v', 'v']"
1268,glibberen,slither,['v']
1269,piepkuiken,spring chick,[]
1270,afstompen,dull,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'a', 'a', 's', 's', 's', 'a', 's', 's', 'a', 's', 's', 's']"
1271,vergaren,gather,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1272,theedrinken,drink tea,[]
1273,scheppen,create,"['v', 'v', 'v', 'v', 'v', 'v']"
1274,bepleiten,advocate,"['n', 'n', 'v', 'v']"
1275,glimmen,shine,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1276,uitflappen,flap out,[]
1277,blozen,to blush,[]
1278,selecteren,Selecting,['v']
1279,tooien,adorn,"['v', 'v', 'v']"
1280,kijken,look,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1281,leegpompen,pumping out,[]
1282,vastleggen,capture,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1283,enteren,enter,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1284,beschimpen,taunt,"['n', 'v']"
1285,vechten,fight,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
1286,aftreden,step down,[]
1287,bruisen,fizzing,"['v', 's']"
1288,kwijten,discharge,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1289,afstappen,step off,[]
1290,grienen,whining,"['v', 'v', 'v', 'v']"
1291,afbluffen,bluff,"['n', 'n', 'n', 'v', 'v', 's', 's']"
1292,doorvliegen,fly on,[]
1293,open,Open,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'a', 'a', 's', 's', 'a', 's', 's', 's', 's', 's', 'a', 's', 's', 's', 'a', 'a', 's', 's', 's', 's', 's']"
1294,schroeven,screws,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
1295,afzonderen,seclude,['v']
1296,verdienen,to earn,[]
1297,bewaken,to guard,[]
1298,tennissen,playing tennis,[]
1299,onteigenen,expropriate,['v']
1300,vouwen,fold,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
1301,treuren,mourn,"['v', 'v']"
1302,opwachten,await,['v']
1303,westen,West,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'a', 'r']"
1304,vlechten,braid,"['n', 'n', 'v', 'v', 'v']"
1305,samensmelten,merge,"['v', 'v', 'v']"
1306,toveren,conjure,"['v', 'v', 'v']"
1307,heden,present day,[]
1308,inproppen,cram in,[]
1309,prepareren,preparing,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1310,mannenkleren,men's clothes,[]
1311,kortsluiten,short circuit,[]
1312,verhoren,questioning,"['n', 'v', 'v', 'v', 'v', 'v', 's', 's', 's']"
1313,verrotten,rot,"['n', 'n', 'n', 'v', 'v']"
1314,nomineren,nominate,"['v', 'v', 'v', 'v']"
1315,inbeelden,imagine,"['v', 'v']"
1316,stapelen,stacking,"['v', 'v', 'v']"
1317,uiteenspatten,burst,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1318,meenemen,take,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
1319,rondslenteren,stroll around,[]
1320,scalperen,scalping,"['v', 'v']"
1321,terroriseren,terrorize,"['v', 'v']"
1322,ontvoeren,kidnap,['v']
1323,uitschudden,shake out,[]
1324,poeieren,brushing,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
1325,beïnvloeden,to influence,[]
1326,permanenten,perms,"['n', 'n', 'v']"
1327,deponeren,deposit,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
1328,kurken,corks,"['n', 'n', 'n', 'n', 'n', 'v', 'v']"
1329,dulden,tolerate,"['v', 'v', 'v', 'v']"
1330,bevatten,contain,"['v', 'v', 'v', 'v', 'v', 'v']"
1331,chatten,to chat,[]
1332,hinkelen,hopscotch,['n']
1333,leggen,lay,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
1334,losrukken,tear away,[]
1335,injecteren,inject,"['v', 'v', 'v', 'v', 'v', 'v']"
1336,neerschieten,shoot down,[]
1337,berusten,acquiesce,['v']
1338,confisqueren,confiscate,"['v', 's']"
