,word,translation,meaning
384,lak,lacquer,"{'Noun': ['a black resinous substance obtained from certain trees and used as a natural varnish', 'a hard glossy coating'], 'Verb': ['coat with lacquer']}"
385,lal,lal,
386,lam,lamb,"{'Noun': ['young sheep', 'English essayist (1775-1834', 'a person easily deceived or cheated (especially in financial matters', 'a sweet innocent mild-mannered person (especially a child', 'the flesh of a young domestic sheep eaten as food'], 'Verb': ['give birth to a lamb']}"
387,lap,rag,"{'Noun': ['a small piece of cloth or paper', 'a week at British universities during which side-shows and processions of floats are organized to raise money for charities', 'music with a syncopated melody (usually for the piano', 'newspaper with half-size pages', 'a boisterous practical joke (especially by college students'], 'Verb': ['treat cruelly', 'cause annoyance in; disturb, especially by minor irritations', 'play in ragtime', 'harass with persistent criticism or carping', 'censure severely or angrily', 'break into lumps before sorting']}"
388,las,read,"{'Noun': ['something that is read'], 'Verb': ['interpret something that is written or printed', 'have or contain a certain wording or form', 'look at, interpret, and say out loud something that is written or printed', 'obtain data from magnetic tapes or other digital sources', 'interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior', 'interpret something in a certain way; convey a particular meaning or impression', 'be a student of a certain subject', 'indicate a certain reading; of gauges and instruments', 'audition for a stage role by reading parts of a role', 'to hear and understand', 'make sense of a language']}"
389,lat,lat,{'Noun': ['a broad flat muscle on either side of the back']}
390,led,led,"{'Noun': ['diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used'], 'Verb': ['take somebody somewhere', 'produce as a result or residue', 'tend to or result in', 'travel in front of; go in advance of others', 'cause to undertake a certain action', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'be in charge of', 'be ahead of others; be the first', 'be conducive to', 'lead, as in the performance of a composition', 'lead, extend, or afford access', 'move ahead (of others', 'cause something to pass or lead somewhere', 'preside over']}"
391,lef,guts,"{'Noun': ['the part of the alimentary canal between the stomach and the anus', 'a narrow channel or strait', 'a strong cord made from the intestines of sheep and used in surgery', 'fortitude and determination'], 'Verb': ['empty completely; destroy the inside of', 'remove the guts of']}"
392,leg,put,"{'Noun': ['the option to sell a given stock (or stock index or commodity future'], 'Verb': ['put into a certain place or abstract location', 'cause to be in a certain state; cause to be in a certain relation', 'formulate in a particular style or language', 'attribute or give', 'make an investment', 'estimate', 'cause (someone', 'arrange thoughts, ideas, temporal events']}"
393,lei,slate,"{'Noun': ['(formerly', 'thin layers of rock used for roofing', 'a fine-grained metamorphic rock that can be split into thin layers', 'a list of candidates nominated by a political party to run for election to public offices'], 'Verb': ['designate or schedule', 'enter on a list or slate for an election', 'cover with slate']}"
394,lek,leak,"{'Noun': ['an accidental hole that allows something (fluid or light etc.', 'soft watery rot in fruits and vegetables caused by fungi', 'a euphemism for urination', 'the discharge of a fluid from some container', 'unauthorized (especially deliberate'], 'Verb': ['tell anonymously', 'be leaked', 'enter or escape as through a hole or crack or fissure', 'have an opening that allows light or substances to enter or go out']}"
395,lel,lel,
396,les,lesson,"{'Noun': ['a unit of instruction', 'punishment intended as a warning to others', 'the significance of a story or event', 'a task assigned for individual study']}"
397,let,please note,
398,lid,member,"{'Noun': ['one of the persons who compose a social group (especially individuals who have joined and participate in a group organization', 'anything that belongs to a set or class', 'an external body part that projects from the body', 'an organization that is a member of another organization (especially a state that belongs to a group of nations', ""the male sex organ (`member' is a euphemism""]}"
399,lig,lig,
400,lij,lij,
401,lik,lick,"{'Noun': ['a salt deposit that animals regularly lick', 'touching with the tongue', '(boxing'], 'Verb': ['beat thoroughly and conclusively in a competition or fight', 'pass the tongue over', 'find the solution to (a problem or question', 'take up with the tongue']}"
402,lil,lil,
403,lip,lip,"{'Noun': ['either of two fleshy folds of tissue that surround the mouth and play a role in speaking', '(botany', 'an impudent or insolent rejoinder', 'the top edge of a vessel or other container', ""either the outer margin or the inner margin of the aperture of a gastropod's shell""]}"
404,lis,lis,"{'Noun': ['a soft silver-white univalent element of the alkali metal group; the lightest metal known; occurs in several minerals', 'Chinese distance measure; approximately 0.5 kilometers']}"
405,lob,lob,"{'Noun': ['an easy return of a tennis ball in a high arc', 'the act of propelling something (as a ball or shell etc.'], 'Verb': ['propel in a high arc']}"
406,loc,loc,
407,lof,praise,"{'Noun': ['an expression of approval and commendation', 'offering words of homage as an act of worship'], 'Verb': ['express approval of']}"
408,log,log,"{'Noun': ['a segment of the trunk of a tree when stripped of branches', 'the exponent required to produce a given number', 'a written record of messages sent or received', 'a written record of events on a voyage (of a ship or plane', ""measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water""], 'Verb': ['enter into a log, as on ships and planes', 'cut lumber, as in woods and forests']}"
409,lok,lok,
410,lol,LOL,
411,lom,clueless,{'Adjective': ['totally uninformed about what is going on; not having even a clue from which to infer what is occurring']}
412,lor,lor,
413,los,loose,"{'Verb': ['grant freedom to; free from confinement', 'turn loose or free from restraint', 'make loose or looser', 'become loose or looser or less tight'], 'Adjective': ['not compact or dense in structure or arrangement', '(of a ball in sport', 'not tight; not closely constrained or constricted or constricting', 'not officially recognized or controlled', 'not literal', 'emptying easily or excessively', 'not affixed', 'not tense or taut', '(of textures', 'lacking a sense of restraint or responsibility', 'not carefully arranged in a package', 'having escaped, especially from confinement', 'casual and unrestrained in sexual behavior', 'or light'], 'Adverb': ['without restraint']}"
414,lot,lot,"{'Noun': ['a parcel of land having fixed boundaries', 'an unofficial association of people or groups', 'your overall circumstances or condition in life (including everything that happens to you', 'anything (straws or pebbles etc.', 'any collection in its entirety', '(Old Testament'], 'Verb': ['divide into lots, as of land, for example', 'administer or bestow, as in small portions']}"
415,low,low,"{'Noun': ['an air mass of lower pressure; often brings precipitation', 'British political cartoonist (born in New Zealand', '1891-1963', 'a low level or position or degree', 'the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving'], 'Verb': ['make a low noise, characteristic of bovines'], 'Adjective': ['less than normal in degree or intensity or amount', 'literal meanings; being at or having a relatively small elevation or upward extension', 'very low in volume', 'unrefined in character', 'used of sounds and voices; low in pitch or frequency', 'of the most contemptible kind', 'low or inferior in station or quality', 'no longer sufficient', 'subdued or brought low in condition or status', 'filled with melancholy and despondency'], 'Adverb': ['in a low position; near the ground']}"
416,lp,lp,{'Noun': ['a long-playing phonograph record; designed to be played at 33.3 rpm']}
417,lto,lto,
418,lui,lazy,"{'Adjective': ['moving slowly and gently', 'disinclined to work or exertion']}"
419,luk,luck,"{'Noun': ['your overall circumstances or condition in life (including everything that happens to you', 'an unknown and unpredictable phenomenon that causes an event to result one way rather than another', 'an unknown and unpredictable phenomenon that leads to a favorable outcome']}"
420,lul,asshole,"{'Noun': ['insulting terms of address for people who are stupid or irritating or ridiculous', 'vulgar slang for anus']}"
421,lus,loop,"{'Noun': ['fastener consisting of a metal ring for lining a small hole to permit the attachment of cords or lines', 'anything with a round or oval shape (formed by a curve that is closed and does not intersect itself', '(computer science', 'an inner circle of advisors (especially under President Reagan', 'the basic pattern of the human fingerprint', 'a computer program that performs a series of instructions repeatedly until some specified condition is satisfied', 'the topology of a network whose components are serially connected in such a way that the last component is connected to the first component', 'an intrauterine device in the shape of a loop', 'a complete electrical circuit around which current flows or a signal circulates', 'a flight maneuver; aircraft flies a complete circle in the vertical plane'], 'Verb': ['move in loops', 'make a loop in', 'fly loops, perform a loop', 'wind around something in coils or loops', 'fasten or join with a loop']}"
422,lux,lux,{'Noun': ['a unit of illumination equal to 1 lumen per square meter; 0.0929 foot candle']}
423,ma,ma,"{'Noun': ['informal terms for a mother', ""a master's degree in arts and sciences"", 'one thousandth of an ampere', 'a state in New England; one of the original 13 colonies']}"
424,maf,crazy,"{'Noun': ['someone deranged and possibly dangerous'], 'Adjective': ['affected with madness or insanity', 'foolish; totally unsound', 'possessed by inordinate excitement', 'bizarre or fantastic', 'intensely enthusiastic about or preoccupied with']}"
425,mag,allowed,"{'Verb': ['make it possible through a specific action or lack of action for something to happen', 'consent to, give permission', 'let have', 'give or assign a resource to a particular person or cause', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'allow or plan for a certain possibility; concede the truth or validity of something', 'afford possibility', 'allow the other (baseball', 'grant as a discount or in exchange', 'allow the presence of or allow (an activity']}"
426,mak,mak,{'Noun': ['a terrorist organization founded by Osama bin Laden in the 1980s to provide money and recruit fighters around the world; enlisted and transported thousands of men to Afghanistan to fight the Russians; a split in the group led bin Laden and the extremist faction of MAK to form al-Qaeda']}
427,mal,mold,"{'Noun': ['the distinctive form in which a thing is made', 'container into which liquid is poured to create a given shape when it hardens', 'loose soil rich in organic matter', 'the process of becoming mildewed', 'a fungus that produces a superficial growth on various kinds of damp or decaying organic matter', 'a dish or dessert that is formed in or on a mold', 'a distinctive nature, character, or type', 'sculpture produced by molding'], 'Verb': ['form in clay, wax, etc', 'become moldy; spoil due to humidity', 'form by pouring (e.g., wax or hot metal', 'make something, usually for a specific function', 'fit tightly, follow the contours of', 'shape or influence; give direction to']}"
428,mam,mom,{'Noun': ['informal terms for a mother']}
429,man,man,"{'Noun': ['an adult person who is male (as opposed to a woman', 'someone who serves in the armed forces; a member of a military force', 'the generic use of the word to refer to any human being', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'a male subordinate', 'an adult male person who has a manly character (virile and courageous competent', 'a manservant who acts as a personal attendant to his employer', 'a male person who plays a significant role (husband or lover or boyfriend', 'one of the British Isles in the Irish Sea', 'game equipment consisting of an object used in playing certain board games', 'all of the living human inhabitants of the earth'], 'Verb': ['take charge of a certain job; occupy a certain work place', 'provide with workers']}"
430,map,folder,"{'Noun': ['a small book usually having a paper cover', 'covering that is folded over to protect the contents']}"
431,mat,mat,"{'Noun': ['a thick flat pad used as a floor covering', 'mounting consisting of a border or background for a picture', 'sports equipment consisting of a piece of thick padding on the floor for gymnastic sports', 'a mass that is densely tangled or interwoven', ""a master's degree in teaching"", 'the property of having little or no contrast; lacking highlights or gloss', 'a foundation (usually on soft ground', 'a small pad of material that is used to protect surface from an object placed on it'], 'Verb': ['twist together or entwine into a confusing mass', 'change texture so as to become matted and felt-like'], 'Adjective': ['not reflecting light; not glossy']}"
432,me,me,{'Noun': ['a state in New England']}
433,mea,mea,
434,mee,along,"{'Adverb': ['with a forward motion', 'in accompaniment or as a companion', 'to a more advanced state', ""in addition (usually followed by `with'""]}"
435,meg,meg,{'Noun': ['the number that is represented as a one followed by 6 zeros']}
436,mei,May,"{'Noun': ['the month following April and preceding June', 'thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America']}"
437,mem,mem,{'Noun': ['the 13th letter of the Hebrew alphabet']}
438,men,men,"{'Noun': ['an adult person who is male (as opposed to a woman', 'someone who serves in the armed forces; a member of a military force', 'the generic use of the word to refer to any human being', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'a male subordinate', 'an adult male person who has a manly character (virile and courageous competent', 'a manservant who acts as a personal attendant to his employer', 'a male person who plays a significant role (husband or lover or boyfriend', 'one of the British Isles in the Irish Sea', 'game equipment consisting of an object used in playing certain board games', 'all of the living human inhabitants of the earth', 'the force of workers available']}"
439,mep,whack,"{'Noun': ['the sound made by a sharp swift blow', 'the act of hitting vigorously'], 'Verb': ['hit hard']}"
440,mes,knife,"{'Noun': ['edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle', 'a weapon with a handle and blade with a sharp point', 'any long thin projection that is transient'], 'Verb': ['use a knife on']}"
441,met,with,
442,mg,mg,"{'Noun': ['one thousandth (1/1,000', 'a light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine']}"
443,mi,mi,"{'Noun': ['destruction of heart tissue resulting from obstruction of the blood supply to the heart muscle', 'a former British unit of length equivalent to 6,080 feet (1,853.184 meters', 'a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude', 'a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters', 'a midwestern state in north central United States in the Great Lakes region', 'the government agency in the United Kingdom that is responsible for internal security and counterintelligence on British territory', 'the government agency in the United Kingdom that is responsible for internal security and counterintelligence overseas', 'the syllable naming the third (mediant', 'type genus of the Muridae: common house mice; the tips of the upper incisors have a square notch']}"
444,mie,mie,
445,mij,me,{'Noun': ['a state in New England']}
446,mik,mik,
447,min,min,"{'Noun': ['a unit of time equal to 60 seconds or 1/60th of an hour', 'any of the forms of Chinese spoken in Fukien province', 'an Egyptian god of procreation']}"
448,mis,wrong,"{'Noun': ['that which is contrary to the principles of justice or law', 'any harm or injury resulting from a violation of a legal right'], 'Verb': ['treat unjustly; do wrong to'], 'Adjective': ['not correct; not in conformity with fact or truth', 'contrary to conscience or morality or law', 'not appropriate for a purpose or occasion', 'not functioning properly', 'based on or acting or judging in error', 'not in accord with established usage or procedure', 'used of the side of cloth or clothing intended to face inward', 'badly timed', 'characterized by errors; not agreeing with a model or not following established rules'], 'Adverb': ['in an inaccurate manner']}"
449,mix,mix,"{'Noun': ['a commercially prepared mixture of dry ingredients', 'an event that combines things in a mixture', 'the act of mixing together'], 'Verb': ['mix together different elements', 'open (a place', 'combine (electronic signals', 'add as an additional element or part', 'to bring or combine together or with something else', 'mix so as to make a random order or arrangement']}"
450,ml,ml,{'Noun': ['a metric unit of volume equal to one thousandth of a liter']}
451,mm,mm,{'Noun': ['a metric unit of length equal to one thousandth of a meter']}
452,moe,tired,"{'Verb': ['lose interest or become bored with something or somebody', 'exhaust or get tired through overuse or great strain or stress', 'deplete', 'cause to be bored'], 'Adjective': ['depleted of strength or energy', 'repeated too often; overfamiliar through overuse']}"
453,mof,sleeve,"{'Noun': ['the part of a garment that is attached at the armhole and that provides a cloth covering for the arm', 'small case into which an object fits']}"
454,mok,mug,"{'Noun': ['the quantity that can be held in a mug', 'a person who is gullible and easy to take advantage of', ""the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British"", 'with handle and usually cylindrical'], 'Verb': ['rob at gunpoint or with the threat of violence']}"
455,mol,mol,"{'Noun': [""the molecular weight of a substance expressed in grams; the basic unit of amount of substance adopted under the Systeme International d'Unites""]}"
456,mom,mom,{'Noun': ['informal terms for a mother']}
457,mop,joke,"{'Noun': ['a humorous anecdote or remark intended to provoke laughter', 'activity characterized by good humor', 'a ludicrous or grotesque act done for fun and amusement', 'a triviality not to be taken seriously'], 'Verb': ['tell a joke; speak humorously', 'act in a funny or teasing way']}"
458,mos,moss,{'Noun': ['tiny leafy-stemmed flowerless plants']}
459,mot,moth,{'Noun': ['typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae']}
460,mp,mp,"{'Noun': ['a member of the military police who polices soldiers and guards prisoners', 'a military corps that enforces discipline and guards prisoners']}"
461,ms,ms,"{'Noun': ['a chronic progressive nervous disorder involving loss of myelin sheath around certain nerve fibers', 'a state in the Deep South on the gulf of Mexico; one of the Confederate States during the American Civil War', ""a master's degree in science"", 'the form of a literary work submitted for publication', 'a form of address for a woman']}"
462,mu,mu,{'Noun': ['the 12th letter of the Greek alphabet']}
463,mud,mud,"{'Noun': ['water soaked soil; soft wet earth', 'slanderous remarks or charges'], 'Verb': ['soil with mud, muck, or mire', 'plaster with mud']}"
464,muf,musty,"{'Adjective': ['covered with or smelling of mold', 'or musty', 'stale and unclean smelling']}"
465,mug,mosquito,{'Noun': ['two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals']}
466,mum,mum,"{'Noun': ['of China', 'informal terms for a mother', 'secrecy'], 'Adjective': ['failing to speak or communicate etc when expected to']}"
467,mus,sparrow,"{'Noun': ['any of several small dull-colored singing birds feeding on seeds or insects', 'small brownish European songbird']}"
468,mw,mrs,{'Noun': ['a form of address for a married woman']}
469,m²,m²,
470,mét,with,
471,na,after,"{'Adjective': ['located farther aft'], 'Adverb': ['happening at a time subsequent to a reference time', 'behind or in the rear']}"
472,nam,took,"{'Verb': ['carry out', 'require (time or space', 'take somebody somewhere', ""get into one's hands, take physically"", 'take on a certain form, attribute, or aspect', 'interpret something in a certain way; convey a particular meaning or impression', 'take something or somebody with oneself somewhere', ""take into one's possession"", 'travel or go by means of a certain kind of transportation, or a certain route', 'pick out, select, or choose from a number of alternatives', 'receive willingly something given or offered', 'assume, as of positions or roles', 'take into consideration for exemplifying purposes', 'require as useful, just, or proper', 'experience or feel or submit to', 'make a film or photograph of something', 'remove something concrete, as by lifting, pushing, or taking off, or remove something abstract', 'serve oneself to, or consume regularly', 'accept or undergo, often unwillingly', 'make use of or accept for some purpose', 'take by force', 'occupy or take on', 'admit into a group or community', 'ascertain or determine by measuring, computing or take a reading from a dial', 'be a student of a certain subject', 'take as an undesirable consequence of some event or state of affairs', 'head into a specified direction', 'point or cause to go (blows, weapons, or objects such as photographic equipment', 'be seized or affected in a specified way', ""have with oneself; have on one's person"", 'engage for service under a term of contract', 'receive or obtain regularly', 'buy, select', 'to get into a position of having, e.g., safety, comfort', 'have sex with; archaic use', 'lay claim to; as of an idea', 'be designed to hold or take', 'be capable of holding or containing', 'develop a habit', 'proceed along in a vehicle', 'obtain by winning', 'be stricken by an illness, fall victim to an illness']}"
473,nap,cup,"{'Noun': ['a small open container usually used for drinking; usually has a handle', 'the quantity a cup will hold', 'any cup-shaped concavity', 'a United States liquid unit equal to 8 fluid ounces', 'cup-shaped plant organ', 'a punch served in a pitcher instead of a punch bowl', 'the hole (or metal container in the hole', 'a large metal vessel with two handles that is awarded as a trophy to the winner of a competition'], 'Verb': ['form into the shape of a cup', 'put into a cup', ""treat by applying evacuated cups to the patient's skin""]}"
474,nar,jester,{'Noun': ['a professional clown employed to entertain a king or nobleman in the Middle Ages']}
475,nas,nas,"{'Noun': ['a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water', 'rock salt']}"
476,nat,wet,"{'Noun': ['wetness caused by water'], 'Verb': ['cause to become wet', ""make one's bed or clothes wet by urinating""], 'Adjective': ['covered or soaked with a liquid such as water', 'containing moisture or volatile components', 'supporting or permitting the legal production and sale of alcoholic beverages', 'producing or secreting milk', 'consisting of or trading in alcoholic liquor', 'very drunk']}"
477,nee,No,"{'Noun': ['a negative', 'a radioactive transuranic element synthesized by bombarding curium with carbon ions; 7 isotopes are known'], 'Adjective': ['(quantifier'], 'Adverb': ['referring to the degree to which a certain quality is present', 'not in any degree or manner; not at all', 'used to express refusal or denial or disagreement etc or especially to emphasize a negative statement']}"
478,neg,neg,
479,nek,neck,"{'Noun': ['the part of an organism (human or animal', 'a narrow elongated projecting strip of land', 'a cut of meat from the neck of an animal', 'a narrow part of an artifact that resembles a neck in position or form', ""an opening in a garment for the neck of the wearer; a part of the garment near the wearer's neck""], 'Verb': ['kiss, embrace, or fondle with sexual passion']}"
480,nel,nel,
481,nep,fake,"{'Noun': ['something that is a counterfeit; not what it seems to be', 'a person who makes deceitful pretenses', '(football'], 'Verb': ['make a copy of with the intent to deceive', 'tamper, with the purpose of deception', 'speak insincerely or without regard for facts or truths'], 'Adjective': ['fraudulent; having a misleading appearance', 'not genuine or real; being an imitation of the genuine article']}"
482,nes,nes,"{'Noun': ['a colorless odorless gaseous element that give a red glow in a vacuum tube; one of the six inert gasses; occurs in the air in small amounts', 'the compass point midway between north and east; at 45 degrees', 'a midwestern state on the Great Plains']}"
483,net,just,"{'Adjective': ['used especially of what is legally or ethically right or proper or fitting', 'fair to all parties as dictated by reason and conscience', 'free from favoritism or self-interest or bias or deception; conforming with established standards or rules', 'of moral excellence'], 'Adverb': ['and nothing more', 'indicating exactness or preciseness', 'or exactly', 'only a moment ago', '(used for emphasis', 'only a very short time before', 'possibly (indicating a slight chance of something being true', 'exactly at this moment or the moment described', 'by a little']}"
484,new,new,"{'Adjective': ['not of long duration; having just (or relatively recently', 'original and of a kind not seen before', 'lacking training or experience', 'having no previous example or precedent or parallel', 'other than the former one(s', 'unaffected by use or exposure', 'in use after medieval times', 'used of a living language; being the current stage in its development', '(of crops'], 'Adverb': ['very recently']}"
485,nik,nothing,"{'Noun': ['a quantity of no importance'], 'Adverb': ['in no respect; to no degree']}"
486,nip,sip,"{'Noun': ['a small drink'], 'Verb': ['drink in sips']}"
487,nis,niche,"{'Noun': ['a position particularly well suited to the person who occupies it', 'a small concavity', 'an enclosure that is set back or indented', '(ecology', 'affecting its survival as a species']}"
488,no,no,"{'Noun': ['a negative', 'a radioactive transuranic element synthesized by bombarding curium with carbon ions; 7 isotopes are known'], 'Adjective': ['(quantifier'], 'Adverb': ['referring to the degree to which a certain quality is present', 'not in any degree or manner; not at all', 'used to express refusal or denial or disagreement etc or especially to emphasize a negative statement']}"
489,nog,yet,"{'Adverb': ['up to the present time', 'used in negative statement to describe a situation that has existed up to this point or up to the present time', 'to a greater degree or extent; used with comparisons', 'or still', 'within an indefinite time or at an unspecified future time', 'used after a superlative', 'despite anything to the contrary (usually preceding a concession']}"
490,nok,ridge,"{'Noun': ['a long narrow natural elevation or striation', 'any long raised strip', 'a long narrow natural elevation on the floor of the ocean', 'a long narrow range of hills', 'any long raised border or margin of a bone or tooth or membrane', 'a beam laid along the edge where two sloping sides of a roof meet at the top; provides an attachment for the upper ends of rafters'], 'Verb': ['extend in ridges', 'plough alternate strips by throwing the furrow onto an unploughed strip', 'throw soil toward (a crop row', 'spade into alternate ridges and troughs', 'form into a ridge']}"
491,nom,nom,
492,non,non,{'Adverb': ['negation of a word or group of words']}
493,nop,nop,
494,nor,nor,
495,not,not,{'Adverb': ['negation of a word or group of words']}
496,nou,Well,"{'Noun': ['a deep hole or shaft dug or drilled to obtain water or oil or gas or brine', 'a cavity or vessel used to contain liquid', 'an abundant source', 'an open shaft through the floors of a building (as for a stairway', ""an enclosed compartment in a ship or plane for holding something as e.g. fish or a plane's landing gear or for protecting something as e.g. a ship's pumps""], 'Verb': ['come up, as of a liquid'], 'Adjective': ['in good health especially after having suffered illness or injury', 'resulting favorably', 'wise or advantageous and hence advisable'], 'Adverb': ['(often used as a combining form', ""`good' is a nonstandard dialectal variant for `well'"", 'thoroughly or completely; fully; often used as a combining form', 'indicating high probability; in all likelihood', '(used for emphasis or as an intensifier', 'to a suitable or appropriate extent or degree', 'favorably; with approval', 'to a great extent or degree', 'or substantially', 'with great or especially intimate knowledge', 'with prudence or propriety', 'with skill or in a pleasing manner', 'in a manner affording benefit or advantage', 'in financial comfort', 'without unusual distress or resentment; with good humor']}"
497,nu,now,"{'Noun': ['the momentary present'], 'Adverb': ['in the historical present; at this point in the narration of a series of past events', 'in these times', 'used to preface a command or reproof or request', 'at the present moment', 'without delay or hesitation; with no time intervening', '(prefatory or transitional', 'in the immediate past']}"
498,nuk,now,"{'Noun': ['the momentary present'], 'Adverb': ['in the historical present; at this point in the narration of a series of past events', 'in these times', 'used to preface a command or reproof or request', 'at the present moment', 'without delay or hesitation; with no time intervening', '(prefatory or transitional', 'in the immediate past']}"
499,nul,zero,"{'Noun': ['a quantity of no importance', 'a mathematical element that when added to another number yields the same number', 'the point on a scale from which positive or negative numerical quantities can be measured', 'the sight setting that will cause a projectile to hit the center of the target with no wind blowing'], 'Verb': ['adjust (an instrument or device', 'adjust (as by firing under test conditions', 'a gun'], 'Adjective': ['indicating the absence of any or all units under consideration', 'having no measurable or otherwise determinable value', 'indicating an initial point or origin', 'of or relating to the null set (a set with no members']}"
500,nut,usefulness,{'Noun': ['the quality of being of practical use']}
501,nv,nv,{'Noun': ['a state in the western United States']}
502,ná,after,"{'Adjective': ['located farther aft'], 'Adverb': ['happening at a time subsequent to a reference time', 'behind or in the rear']}"
503,nét,just,"{'Adjective': ['used especially of what is legally or ethically right or proper or fitting', 'fair to all parties as dictated by reason and conscience', 'free from favoritism or self-interest or bias or deception; conforming with established standards or rules', 'of moral excellence'], 'Adverb': ['and nothing more', 'indicating exactness or preciseness', 'or exactly', 'only a moment ago', '(used for emphasis', 'only a very short time before', 'possibly (indicating a slight chance of something being true', 'exactly at this moment or the moment described', 'by a little']}"
504,nóg,yet,"{'Adverb': ['up to the present time', 'used in negative statement to describe a situation that has existed up to this point or up to the present time', 'to a greater degree or extent; used with comparisons', 'or still', 'within an indefinite time or at an unspecified future time', 'used after a superlative', 'despite anything to the contrary (usually preceding a concession']}"
505,nú,now,"{'Noun': ['the momentary present'], 'Adverb': ['in the historical present; at this point in the narration of a series of past events', 'in these times', 'used to preface a command or reproof or request', 'at the present moment', 'without delay or hesitation; with no time intervening', '(prefatory or transitional', 'in the immediate past']}"
506,och,oh,{'Noun': ['a midwestern state in north central United States in the Great Lakes region']}
507,ode,ode,{'Noun': ['a lyric poem with complex stanza forms']}
508,oef,oof,
509,oei,oops,
510,oen,oen,
511,oer,primal,"{'Adjective': ['serving as an essential component', 'having existed from the beginning; in an earliest or original stage or state']}"
512,of,or,"{'Noun': ['a state in northwestern United States on the Pacific', 'a room in a hospital equipped for the performance of surgical operations']}"
513,oh,Oh,{'Noun': ['a midwestern state in north central United States in the Great Lakes region']}
514,ohm,ohm,"{'Noun': ['a unit of electrical resistance equal to the resistance between two points on a conductor when a potential difference of one volt between them produces a current of one ampere', ""German physicist who formulated Ohm's law (1787-1854""]}"
515,oho,oho,
516,oké,Okay,"{'Noun': ['an endorsement'], 'Verb': ['give sanction to'], 'Adjective': ['being satisfactory or in satisfactory condition'], 'Adverb': ['in a satisfactory or adequate manner', ""`alright' is a nonstandard variant of `all right'""]}"
517,old,old,"{'Noun': [""past times (especially in the phrase `in days of old'""], 'Adjective': ['(used especially of persons', 'of long duration; not new', '(used for emphasis', 'skilled through long experience', 'belonging to some prior time', 'very good', 'of a very early stage in development', 'just preceding something else in time or order']}"
518,olm,elm,"{'Noun': ['any of various trees of the genus Ulmus: important timber or shade trees', 'hard tough wood of an elm tree; used for e.g. implements and furniture']}"
519,om,to,
520,oma,Grandma,{'Noun': ['the mother of your father or mother']}
521,ome,uncle,"{'Noun': ['the brother of your father or mother; the husband of your aunt', 'a source of help and advice and encouragement']}"
522,on,on,"{'Adjective': ['in operation or operational', '(of events'], 'Adverb': ['with a forward motion', 'indicates continuity or persistence or concentration', 'in a state required for something to function or be effective']}"
523,ons,U.S,
524,oog,eye,"{'Noun': ['the organ of sight', 'good discernment (either visually or as if visually', 'attention to what is seen', 'an area that is approximately central within some larger region', 'a small hole or loop (as in a needle'], 'Verb': ['look at']}"
525,ooi,ewe,"{'Noun': ['a member of a people living in southern Benin and Togo and southeastern Ghana', 'a Kwa language spoken by the Ewe in Ghana and Togo and Benin', 'female sheep']}"
526,ook,also,{'Adverb': ['in addition']}
527,oom,uncle,"{'Noun': ['the brother of your father or mother; the husband of your aunt', 'a source of help and advice and encouragement']}"
528,oor,ear,"{'Noun': ['the sense organ for hearing and equilibrium', 'good hearing', 'the externally visible cartilaginous structure of the external ear', 'attention to what is said', 'fruiting spike of a cereal plant especially corn']}"
529,op,on,"{'Adjective': ['in operation or operational', '(of events'], 'Adverb': ['with a forward motion', 'indicates continuity or persistence or concentration', 'in a state required for something to function or be effective']}"
530,opa,grandpa,{'Noun': ['the father of your father or mother']}
531,or,or,"{'Noun': ['a state in northwestern United States on the Pacific', 'a room in a hospital equipped for the performance of surgical operations']}"
532,os,os,"{'Noun': [""a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust"", 'the 15th letter of the Roman alphabet', 'the blood group whose red cells carry neither the A nor B antigens', 'a mouth or mouthlike opening', 'a hard brittle blue-grey or blue-black metallic element that is one of the platinum metals; the heaviest metal known', '(computer science', 'the left eye', 'rigid connective tissue that makes up the skeleton of vertebrates']}"
